"authors"	"year"	"text"	"ar_id"	"wg"	"chapter"
"Ewing R, and R Cervero"	2010	" Travel and the Built Environment: A Meta-analysis. Journal of the American Planning Association 76, 265 &#8211; 294"	5	3	"chapter12"
"Debrezion G, E Pels, and P Rietveld"	2007	" The Impact of Railway Stations on Residential and Commercial Property Value: A Meta-analysis. The Journal of Real Estate Finance and Economics 35, 161 &#8211; 180"	5	3	"chapter12"
"Warner E S, and G A Heath"	2012	" Life Cycle Greenhouse Gas Emissions of Nuclear Electricity Generation: Systematic Review and Harmonization. Journal of Industrial Ecology 16, 73 &#8211; 92. Available at: http: / / www. scopus"	5	3	"annex-ii"
"Luderer G, V Bosetti, M Jakob, M Leimbach, J Steckel, H Waisman, and O&#65533; Edenhofer"	2012	"&#65533; The economics of decarbonizing the energy sys-tem &#8212; results and insights from the RECIPE model intercomparison"	5	3	"annex-ii"
"Dolan S L, and G A Heath"	2012	" Life Cycle Greenhouse Gas Emissions of Utility-Scale Wind Power: Systematic Review and Harmonization. Journal of Industrial Ecology 16, S136 &#8211; S154. Available at: https: / / www. scopus"	5	3	"annex-ii"
"Brand&#227;o M, G Heath, and J Cooper"	2012	" What Can Meta-Analyses Tell Us About the Reliability of Life Cycle Assessment for Decision Support? Journal of Industrial Ecology 16, S3 &#8211; S7. Available at: http: / / www. scopus"	5	3	"annex-ii"
"Ji M, D S Cohan, and M L Bell"	2011	" Meta-analysis of the association between short-term exposure to ambient ozone and respiratory hospital admissions"	5	3	"chapter7"
"Ito K, S De Leon, and M Lippmann"	2005	" Associations between ozone and daily mortality: analysis and meta-analysis"	5	3	"chapter7"
"Dooley J J"	2013	" Estimating the supply and demand for deep geologic CO2 stor-age capacity over the course of the 21st Century: A meta analysis of the litera-ture"	5	3	"chapter7"
"Whitaker J, K E Ludley, R Rowe, G Taylor, and D C Howard"	2010	" Sources of variability in greenhouse gas and energy balances for biofuel production: a systematic review. GCB Bioenergy 2, 99 &#8211; 112"	5	3	"chapter11"
"Sauvant D, and S Giger-Reverdin"	2007	" Empirical modelling meta-analysis of digestive interactions and CH4 production in ruminants. In: Energy and protein metabolism and nutrition. I. Ortigues-Marty, N. Miraux, W. Brand-Williams, (eds.), Wageningen Academic Publishers, Wageningen, The Netherlands, pp. 561 &#8211; 563"	5	3	"chapter11"
"Sathre R, and J O&#8217;Connor"	2010	" Meta-analysis of greenhouse gas displace-ment factors of wood product substitution. Environmental Science &amp; Policy 13, 104 &#8211; 114"	5	3	"chapter11"
